Faculty Name,Faculty Email,Department Affiliation,Club Name
Alexander Lopez,AlexanderLopez235@salisbury.edu,American Studies,Aikido Club
Rachel Walker,RachelWalker780@salisbury.edu,Actuarial Science,Alpha Phi Omega
Rebecca Johnson,RebeccaJohnson691@salisbury.edu,Chemistry,American Sign Language Club
Robert Lee,RobertLee150@salisbury.edu,Sociology,BioEnviron
Joan Clark,JoanClark389@salisbury.edu,Computer Science,Educators for Social Justice
Kevin Harris,KevinHarris904@salisbury.edu,American Studies,Esports Association
William Garcia,WilliamGarcia182@salisbury.edu,Nursing,Middle Eastern Cultural Society
Joan King,JoanKing415@salisbury.edu,Business Administration,PE Society
Andrew Nguyen,AndrewNguyen498@salisbury.edu,Political Science,Photo Club
Justin Wilson,JustinWilson579@salisbury.edu,Information Systems,Salisbury Smasherz
Edward Thomas,EdwardThomas431@salisbury.edu,Communication,Sigma Alpha Epsilon
Daniel Clark,DanielClark866@salisbury.edu,Actuarial Science,Starnet Society
Michael Lee,MichaelLee139@salisbury.edu,Political Science,Zeta Tau Alpha
