Student Name,Semester Joined,Major,Position,Email,Club Name
Joshua Harris,Fall 2018,History,President,JoshuaHarris499@gulls.salisbury.edu,Aikido Club
Alexander Jones,Fall 2021,Actuarial Science,Vice President,AlexanderJones271@gulls.salisbury.edu,Aikido Club
Rebecca Harris,Fall 2021,Nursing,Treasurer,RebeccaHarris730@gulls.salisbury.edu,Aikido Club
Thomas Wilson,Spring 2020,American Studies,Secretary,ThomasWilson407@gulls.salisbury.edu,Aikido Club
John Williams,Fall 2021,Sociology,General Member,JohnWilliams280@gulls.salisbury.edu,Aikido Club
Justin Brown,Fall 2018,Earth Science,General Member,JustinBrown749@gulls.salisbury.edu,Aikido Club
Steven Johnson,Spring 2020,Mathematics,General Member,StevenJohnson251@gulls.salisbury.edu,Aikido Club
Stephanie Nguyen,Spring 2019,Sociology,General Member,StephanieNguyen186@gulls.salisbury.edu,Aikido Club
Anthony Lopez,Spring 2018,Early Childhood Education,President,AnthonyLopez252@gulls.salisbury.edu,Alpha Phi Omega
Heather Hill,Spring 2018,Spanish,Vice President,HeatherHill383@gulls.salisbury.edu,Alpha Phi Omega
Stephanie Johnson,Spring 2021,Information Systems,Treasurer,StephanieJohnson704@gulls.salisbury.edu,Alpha Phi Omega
Julie Williams,Spring 2020,History,Secretary,JulieWilliams716@gulls.salisbury.edu,Alpha Phi Omega
Edward Smith,Spring 2020,Accounting,General Member,EdwardSmith610@gulls.salisbury.edu,Alpha Phi Omega
Christopher Thomas,Fall 2018,Sociology,General Member,ChristopherThomas651@gulls.salisbury.edu,Alpha Phi Omega
Paul Clark,Spring 2021,Geography,General Member,PaulClark721@gulls.salisbury.edu,Alpha Phi Omega
Brenda Allen,Spring 2020,Spanish,General Member,BrendaAllen984@gulls.salisbury.edu,Alpha Phi Omega
Kevin Miller,Spring 2018,Nursing,President,KevinMiller987@gulls.salisbury.edu,American Sign Language Club
Jason King,Spring 2019,Information Systems,Vice President,JasonKing624@gulls.salisbury.edu,American Sign Language Club
Mathew Jones,Spring 2019,Mechanical Engineering,Treasurer,MathewJones479@gulls.salisbury.edu,American Sign Language Club
Heather Jackson,Spring 2018,Physics,Secretary,HeatherJackson675@gulls.salisbury.edu,American Sign Language Club
William Thomas,Spring 2019,Nursing,General Member,WilliamThomas542@gulls.salisbury.edu,American Sign Language Club
Ashley Lopez,Fall 2018,Literature,General Member,AshleyLopez196@gulls.salisbury.edu,American Sign Language Club
Thomas Perez,Spring 2020,Biology,General Member,ThomasPerez276@gulls.salisbury.edu,American Sign Language Club
John Johnson,Fall 2018,Political Science,General Member,JohnJohnson442@gulls.salisbury.edu,American Sign Language Club
Anna King,Fall 2018,Sociology,President,AnnaKing226@gulls.salisbury.edu,BioEnviron
Kimberly Nguyen,Spring 2018,Literature,Vice President,KimberlyNguyen342@gulls.salisbury.edu,BioEnviron
Robert Jackson,Spring 2019,Geography,Treasurer,RobertJackson217@gulls.salisbury.edu,BioEnviron
Daniel Miller,Fall 2019,Economics,Secretary,DanielMiller292@gulls.salisbury.edu,BioEnviron
Christopher Perez,Spring 2018,Actuarial Science,General Member,ChristopherPerez859@gulls.salisbury.edu,BioEnviron
Mark Brown,Fall 2020,Accounting,General Member,MarkBrown510@gulls.salisbury.edu,BioEnviron
James Wilson,Spring 2018,Data Science,General Member,JamesWilson480@gulls.salisbury.edu,BioEnviron
Christopher Smith,Spring 2018,Literature,General Member,ChristopherSmith106@gulls.salisbury.edu,BioEnviron
Joseph Allen,Fall 2019,Early Childhood Education,President,JosephAllen391@gulls.salisbury.edu,Educators for Social Justice
John Harris,Fall 2018,Business Administration,Vice President,JohnHarris395@gulls.salisbury.edu,Educators for Social Justice
Richard Lee,Spring 2018,Biology,Treasurer,RichardLee470@gulls.salisbury.edu,Educators for Social Justice
Susan Wilson,Spring 2020,Literature,Secretary,SusanWilson653@gulls.salisbury.edu,Educators for Social Justice
Anthony Clark,Fall 2020,American Studies,General Member,AnthonyClark994@gulls.salisbury.edu,Educators for Social Justice
Edward Lee,Fall 2018,Physics,General Member,EdwardLee405@gulls.salisbury.edu,Educators for Social Justice
Jessica Walker,Spring 2018,Chemistry,General Member,JessicaWalker846@gulls.salisbury.edu,Educators for Social Justice
Thomas Lopez,Spring 2021,Actuarial Science,General Member,ThomasLopez781@gulls.salisbury.edu,Educators for Social Justice
Virgina Lee,Fall 2020,Information Systems,President,VirginaLee381@gulls.salisbury.edu,Esports Association
Edward Williams,Fall 2018,Biology,Vice President,EdwardWilliams540@gulls.salisbury.edu,Esports Association
Joshua Allen,Spring 2020,Early Childhood Education,Treasurer,JoshuaAllen368@gulls.salisbury.edu,Esports Association
Brian Hill,Fall 2018,Geography,Secretary,BrianHill692@gulls.salisbury.edu,Esports Association
Robert Jones,Spring 2020,Data Science,General Member,RobertJones586@gulls.salisbury.edu,Esports Association
Christopher Williams,Spring 2021,Earth Science,General Member,ChristopherWilliams694@gulls.salisbury.edu,Esports Association
