Tag Name,Value,Club Name,Username
Sports,0.0,NULL,JamesClark221@gulls.salisbury.edu
Technology,0.6,NULL,JamesClark221@gulls.salisbury.edu
Outside,0.3,NULL,JamesClark221@gulls.salisbury.edu
Space,0.9,NULL,JamesClark221@gulls.salisbury.edu
Creative,0.7,NULL,JamesClark221@gulls.salisbury.edu
General-Ed,0.7,NULL,JamesClark221@gulls.salisbury.edu
Language,0.0,NULL,JamesClark221@gulls.salisbury.edu
Mutli-Cultural,0.8,NULL,JamesClark221@gulls.salisbury.edu
Sports,0.8,NULL,HeatherLopez258@gulls.salisbury.edu
Technology,0.2,NULL,HeatherLopez258@gulls.salisbury.edu
Outside,0.8,NULL,HeatherLopez258@gulls.salisbury.edu
Space,0.3,NULL,HeatherLopez258@gulls.salisbury.edu
Creative,0.8,NULL,HeatherLopez258@gulls.salisbury.edu
General-Ed,0.6,NULL,HeatherLopez258@gulls.salisbury.edu
Language,0.8,NULL,HeatherLopez258@gulls.salisbury.edu
Mutli-Cultural,0.5,NULL,HeatherLopez258@gulls.salisbury.edu
Sports,0.9,NULL,AshleyHarris708@gulls.salisbury.edu
Technology,0.2,NULL,AshleyHarris708@gulls.salisbury.edu
Outside,0.8,NULL,AshleyHarris708@gulls.salisbury.edu
Space,0.0,NULL,AshleyHarris708@gulls.salisbury.edu
Creative,0.8,NULL,AshleyHarris708@gulls.salisbury.edu
General-Ed,0.2,NULL,AshleyHarris708@gulls.salisbury.edu
Language,0.6,NULL,AshleyHarris708@gulls.salisbury.edu
Mutli-Cultural,0.3,NULL,AshleyHarris708@gulls.salisbury.edu
Sports,0.8,NULL,HeatherDavis330@gulls.salisbury.edu
Technology,0.6,NULL,HeatherDavis330@gulls.salisbury.edu
Outside,0.7,NULL,HeatherDavis330@gulls.salisbury.edu
Space,0.4,NULL,HeatherDavis330@gulls.salisbury.edu
Creative,0.9,NULL,HeatherDavis330@gulls.salisbury.edu
General-Ed,0.1,NULL,HeatherDavis330@gulls.salisbury.edu
Language,0.8,NULL,HeatherDavis330@gulls.salisbury.edu
Mutli-Cultural,0.2,NULL,HeatherDavis330@gulls.salisbury.edu
Sports,0.2,NULL,DanielWilliams764@gulls.salisbury.edu
Technology,0.9,NULL,DanielWilliams764@gulls.salisbury.edu
Outside,0.9,NULL,DanielWilliams764@gulls.salisbury.edu
Space,0.1,NULL,DanielWilliams764@gulls.salisbury.edu
Creative,0.8,NULL,DanielWilliams764@gulls.salisbury.edu
General-Ed,0.6,NULL,DanielWilliams764@gulls.salisbury.edu
Language,0.5,NULL,DanielWilliams764@gulls.salisbury.edu
Mutli-Cultural,0.8,NULL,DanielWilliams764@gulls.salisbury.edu
Sports,0.5,NULL,DavidKing122@gulls.salisbury.edu
Technology,1.0,NULL,DavidKing122@gulls.salisbury.edu
Outside,0.5,NULL,DavidKing122@gulls.salisbury.edu
Space,0.3,NULL,DavidKing122@gulls.salisbury.edu
Creative,0.4,NULL,DavidKing122@gulls.salisbury.edu
General-Ed,0.7,NULL,DavidKing122@gulls.salisbury.edu
Language,0.9,NULL,DavidKing122@gulls.salisbury.edu
Mutli-Cultural,0.5,NULL,DavidKing122@gulls.salisbury.edu
Sports,0.8,NULL,AnnaThomas430@gulls.salisbury.edu
Technology,0.7,NULL,AnnaThomas430@gulls.salisbury.edu
Outside,0.9,NULL,AnnaThomas430@gulls.salisbury.edu
Space,0.2,NULL,AnnaThomas430@gulls.salisbury.edu
Creative,0.3,NULL,AnnaThomas430@gulls.salisbury.edu
General-Ed,0.3,NULL,AnnaThomas430@gulls.salisbury.edu
Language,0.1,NULL,AnnaThomas430@gulls.salisbury.edu
Mutli-Cultural,0.1,NULL,AnnaThomas430@gulls.salisbury.edu
Sports,0.6,NULL,JohnGarcia426@gulls.salisbury.edu
Technology,0.4,NULL,JohnGarcia426@gulls.salisbury.edu
Outside,0.6,NULL,JohnGarcia426@gulls.salisbury.edu
Space,0.2,NULL,JohnGarcia426@gulls.salisbury.edu
Creative,0.9,NULL,JohnGarcia426@gulls.salisbury.edu
General-Ed,0.2,NULL,JohnGarcia426@gulls.salisbury.edu
Language,0.1,NULL,JohnGarcia426@gulls.salisbury.edu
Mutli-Cultural,0.3,NULL,JohnGarcia426@gulls.salisbury.edu
Sports,0.4,NULL,KevinAllen359@gulls.salisbury.edu
Technology,0.9,NULL,KevinAllen359@gulls.salisbury.edu
Outside,0.6,NULL,KevinAllen359@gulls.salisbury.edu
Space,0.2,NULL,KevinAllen359@gulls.salisbury.edu
Creative,0.6,NULL,KevinAllen359@gulls.salisbury.edu
General-Ed,0.2,NULL,KevinAllen359@gulls.salisbury.edu
Language,0.6,NULL,KevinAllen359@gulls.salisbury.edu
Mutli-Cultural,0.6,NULL,KevinAllen359@gulls.salisbury.edu
Sports,0.4,NULL,KennethWilliams297@gulls.salisbury.edu
Technology,0.4,NULL,KennethWilliams297@gulls.salisbury.edu
Outside,0.6,NULL,KennethWilliams297@gulls.salisbury.edu
Space,0.1,NULL,KennethWilliams297@gulls.salisbury.edu
Creative,0.7,NULL,KennethWilliams297@gulls.salisbury.edu
General-Ed,0.8,NULL,KennethWilliams297@gulls.salisbury.edu
Language,0.3,NULL,KennethWilliams297@gulls.salisbury.edu
Mutli-Cultural,0.5,NULL,KennethWilliams297@gulls.salisbury.edu
